	wavelength	id	EP	loggf	C6	D0	EW
793139	6597.559	26	4.7955	-1.05	-7.52	NaN	0
796547	6627.543	26	4.5485	-1.59	-7.53	NaN	0
799253	6653.851	26	4.1544	-2.198	-7.54	NaN	0
801599	6677.985	26	2.6924	-1.418	-7.75	NaN	0
804071	6703.566	26	2.7586	-3.06	-7.75	NaN	0
804780	6710.318	26	1.4849	-4.673	-7.8	NaN	0
806347	6725.355	26	4.1034	-2.1	-7.54	NaN	0
806520	6726.666	26	4.607	-1.123	-7.51	NaN	0
807142	6733.15	26	4.6382	-1.347	-7.53	NaN	0
814736	6810.262	26	4.607	-0.986	-7.47	NaN	0
815582	6820.371	26	4.6382	-1.29	-7.48	NaN	0
805552	6717.681	20	2.709	-0.61	-7.46	NaN	0
806025	6721.848	14	5.8625	-1.527	-7.02	NaN	0
798078	6643.61	28	1.6764	-2.415	-7.81	NaN	0
810619	6767.772	28	1.8261	-1.922	-7.76	NaN	0
811039	6772.315	28	3.6576	-0.797	-7.56	NaN	0
100	5120.3438	26.1	2.8281	-4.256	NaN	NaN	0
101	6516.0766	26.1	2.891	-3.32	NaN	NaN	0
102	6456.3796	26.1	3.9034	-2.1	NaN	NaN	0
103	6432.6757	26.1	2.891	-3.52	NaN	NaN	0
104	6416.919	26.1	3.8916	-2.65	NaN	NaN	0
105	6247.5569	26.1	3.8916	-2.31	NaN	NaN	0
106	6149.2459	26.1	3.8892	-2.72	NaN	NaN	0
107	6084.1017	26.1	3.1995	-3.78	NaN	NaN	0
108	5425.2485	26.1	3.1995	-3.16	NaN	NaN	0
