	wavelength	id	EP	loggf	C6	D0	EW
793139	6597.559	26	4.7955	-1.05	-7.52	NaN	45
796547	6627.543	26	4.5485	-1.59	-7.53	NaN	28.7
799253	6653.851	26	4.1544	-2.198	-7.54	NaN	11.3
801599	6677.985	26	2.6924	-1.418	-7.75	NaN	129.6
804071	6703.566	26	2.7586	-3.06	-7.75	NaN	38.19
804780	6710.318	26	1.4849	-4.673	-7.8	NaN	17.22
806347	6725.355	26	4.1034	-2.1	-7.54	NaN	18.56
806520	6726.666	26	4.607	-1.123	-7.51	NaN	48.55399
807142	6733.15	26	4.6382	-1.347	-7.53	NaN	27.85
814736	6810.262	26	4.607	-0.986	-7.47	NaN	51.296
815582	6820.371	26	4.6382	-1.29	-7.48	NaN	41.5008
805552	6717.681	20	2.709	-0.61	-7.46	NaN	123.36
806025	6721.848	14	5.8625	-1.527	-7.02	NaN	48.17
798078	6643.61	28	1.6764	-2.415	-7.81	NaN	94.47
810619	6767.772	28	1.8261	-1.922	-7.76	NaN	80.499
811039	6772.315	28	3.6576	-0.797	-7.56	NaN	50.92
100	5120.3438	26.1	2.8281	-4.256	NaN	NaN	49.9915
101	6516.0766	26.1	2.891	-3.32	NaN	NaN	53.792
102	6456.3796	26.1	3.9034	-2.1	NaN	NaN	62.683
103	6432.6757	26.1	2.891	-3.52	NaN	NaN	40.93
104	6416.919	26.1	3.8916	-2.65	NaN	NaN	40.523
105	6247.5569	26.1	3.8916	-2.31	NaN	NaN	54.03
106	6149.2459	26.1	3.8892	-2.72	NaN	NaN	36.79
107	6084.1017	26.1	3.1995	-3.78	NaN	NaN	22.055
108	5425.2485	26.1	3.1995	-3.16	NaN	NaN	41.82
